name,lat,lng,rating,types
Franprix,48.8198641,2.2284671,2.9,"['supermarket', 'convenience_store', 'liquor_store', 'grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Carrefour City,48.8150736,2.2343142,3.6,"['supermarket', 'grocery_or_supermarket', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Olivia,48.8148807,2.2340738,4.4,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Crêperie Le Belem,48.8149563,2.234726,4.5,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Brasserie Les Tilleuls Cafe Presse,48.8145367,2.2348226,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Mvb Meudon,48.8146267,2.2348626,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
studio Sucré Salé,48.8188733,2.2331865,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Carrefour City,48.8150736,2.2343142,3.6,"['supermarket', 'grocery_or_supermarket', 'bakery', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Olivia,48.8148807,2.2340738,4.4,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Crêperie Le Belem,48.8149563,2.234726,4.5,"['bar', 'meal_takeaway', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Mvb Meudon,48.8146267,2.2348626,,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Brasserie Les Tilleuls Cafe Presse,48.8145367,2.2348226,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']"
studio Sucré Salé,48.8188733,2.2331865,,"['restaurant', 'point_of_interest', 'food', 'establishment']"
C&C Crêpe Et Croque,48.81148959999999,2.2364379,4.8,"['store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
La Table de Meudon,48.8123809,2.2387041,4.6,"['restaurant', 'night_club', 'bar', 'point_of_interest', 'food', 'establishment']"
LA PETITE TABLE DE BOULOGNE,48.8123428,2.2387329,,"['restaurant', 'point_of_interest', 'food', 'establishment']"
KACHEBI ABDELAH,48.8123425,2.2387441,,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Carrefour City,48.8150736,2.2343142,3.6,"['supermarket', 'grocery_or_supermarket', 'bakery', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Crêperie KORNER SPÉCIAL (Meudon),48.8143511,2.2408605,5.0,"['store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Mvb Meudon,48.8146267,2.2348626,,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Crêperie Le Belem,48.8149563,2.234726,4.5,"['bar', 'meal_takeaway', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Brasserie Les Tilleuls Cafe Presse,48.8145367,2.2348226,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']"
