name,lat,lng,rating,types
Jeux Sylvie de Soye,48.8148175,2.2285347,5.0,"['point_of_interest', 'store', 'establishment']"
Isolespace,48.8160695,2.2251957,4.7,"['locksmith', 'point_of_interest', 'store', 'establishment']"
Polina Couture,48.81603870000001,2.2264213,5.0,"['point_of_interest', 'store', 'establishment']"
During Piano Meudon Rosato Sebastien,48.8151288,2.2214535,5.0,"['school', 'point_of_interest', 'store', 'establishment']"
Aloe Vera FOREVER Gel - Distributeur officiel,48.8171545,2.2269674,,"['food', 'point_of_interest', 'health', 'store', 'establishment']"
MBI Technology,48.8157819,2.228928,5.0,"['electrician', 'electronics_store', 'point_of_interest', 'store', 'establishment']"
SillyMug,48.81569139999999,2.2291068,,"['point_of_interest', 'store', 'establishment']"
Maison MLB,48.81781050000001,2.229572000000001,5.0,"['point_of_interest', 'store', 'establishment']"
Ki Coud Koi,48.8181738,2.2293707,4.4,"['home_goods_store', 'jewelry_store', 'point_of_interest', 'store', 'establishment']"
BAM,48.8179715,2.2184777,5.0,"['point_of_interest', 'home_goods_store', 'store', 'establishment']"
Jeux Sylvie de Soye,48.8148175,2.2285347,5.0,"['store', 'point_of_interest', 'establishment']"
Pharmacie Cottard,48.8150108,2.2345617,4.2,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Les Chapeaux de Bea,48.8130713,2.2331022,4.5,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
Guylene Garcia,48.8129199,2.2328696,5.0,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Gaïchuna,48.8151421,2.234682100000001,,"['jewelry_store', 'store', 'point_of_interest', 'establishment']"
Monbouquiniste,48.81978180000001,2.2290163,4.7,"['book_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
SDV Distribution,48.8198103,2.228559199999999,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']"
Franprix,48.8198641,2.2284671,2.9,"['supermarket', 'liquor_store', 'convenience_store', 'grocery_or_supermarket', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Artisan d'art Tapissier Décorateur - 92,48.81992289999999,2.2281442,,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Bijouterie Leo,48.8200556,2.2285233,3.3,"['jewelry_store', 'store', 'point_of_interest', 'establishment']"
Carrefour City,48.8150736,2.2343142,3.6,"['supermarket', 'grocery_or_supermarket', 'bakery', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
SillyMug,48.81569139999999,2.2291068,,"['store', 'point_of_interest', 'establishment']"
MBI Technology,48.8157819,2.228928,5.0,"['electrician', 'electronics_store', 'store', 'point_of_interest', 'establishment']"
Polina Couture,48.81603870000001,2.2264213,5.0,"['store', 'point_of_interest', 'establishment']"
Aloe Vera FOREVER Gel - Distributeur officiel,48.8171545,2.2269674,,"['health', 'store', 'point_of_interest', 'food', 'establishment']"
Magic Hour,48.8156317,2.2324429,5.0,"['electronics_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Maison MLB,48.81781050000001,2.229572000000001,5.0,"['store', 'point_of_interest', 'establishment']"
Ki Coud Koi,48.8181738,2.2293707,4.4,"['home_goods_store', 'jewelry_store', 'store', 'point_of_interest', 'establishment']"
Isolespace,48.8160695,2.2251957,4.7,"['locksmith', 'store', 'point_of_interest', 'establishment']"
Peyraud Jean-Pierre,48.8137209,2.2333364,5.0,"['locksmith', 'store', 'point_of_interest', 'establishment']"
Gaïchuna,48.8151421,2.234682100000001,,"['jewelry_store', 'store', 'point_of_interest', 'establishment']"
Pharmacie Cottard,48.8150108,2.2345617,4.2,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Les Chapeaux de Bea,48.8130713,2.2331022,4.5,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
Guylene Garcia,48.8129199,2.2328696,5.0,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Jeux Sylvie de Soye,48.8148175,2.2285347,5.0,"['store', 'point_of_interest', 'establishment']"
plusdepulls,48.8122752,2.2373018,4.7,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
Carrefour City,48.8150736,2.2343142,3.6,"['supermarket', 'grocery_or_supermarket', 'bakery', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Boulangerie de la Place,48.8150142,2.2344218,3.9,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']"
Boulanger Banette Patissier,48.8150123,2.2344311,4.2,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']"
Crêperie Le Belem,48.8149563,2.234726,4.5,"['bar', 'meal_takeaway', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Boucherie de la Place,48.8145792,2.234826,4.0,"['store', 'point_of_interest', 'food', 'establishment']"
Magic Hour,48.8156317,2.2324429,5.0,"['electronics_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Emma&Jane Bijoux,48.8156675,2.2363117,,"['jewelry_store', 'store', 'point_of_interest', 'establishment']"
Les Zinzolines,48.8141861,2.2347099,5.0,"['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Nanana Coffeeshop,48.8141861,2.2347099,4.8,"['store', 'cafe', 'point_of_interest', 'food', 'establishment']"
L'Atelier du Vigneron,48.81425730000001,2.235253,,"['liquor_store', 'store', 'point_of_interest', 'food', 'establishment']"
Peyraud Jean-Pierre,48.8137209,2.2333364,5.0,"['locksmith', 'store', 'point_of_interest', 'establishment']"
Anahide Saint André - Haute couture et sur-mesure,48.8130229,2.2330343,4.5,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
Christine Escher Joaillerie,48.81291479999999,2.2328818,5.0,"['jewelry_store', 'store', 'point_of_interest', 'establishment']"
SillyMug,48.81569139999999,2.2291068,,"['store', 'point_of_interest', 'establishment']"
Agate,48.8141596,2.2410321,3.7,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
